Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Name Length,AgeEstimated,isAlone,Ticket_Prefix,CabinInfo
0,3,male,22.0,1,0,7.25,S,23,0,0,A,0.3
1,1,female,38.0,1,0,71.2833,C,51,0,0,P,0.59
1,3,female,26.0,0,0,7.925,S,22,0,1,S,0.3
1,1,female,35.0,1,0,53.1,S,44,0,0,1,0.59
0,3,male,35.0,0,0,8.05,S,24,0,1,3,0.3
0,3,male,33.1,0,0,8.4583,Q,16,0,1,3,0.3
0,1,male,54.0,0,0,51.8625,S,23,0,1,1,0.75
0,3,male,2.0,3,1,21.075,S,30,0,0,3,0.3
1,3,female,27.0,0,2,11.1333,S,49,0,0,3,0.3
1,2,female,14.0,1,0,30.0708,C,35,0,0,2,0.3
1,3,female,4.0,1,1,16.7,S,31,0,0,P,0.5
1,1,female,58.0,0,0,26.55,S,24,0,1,1,0.59
0,3,male,20.0,0,0,8.05,S,30,0,1,A,0.3
0,3,male,39.0,1,5,31.275,S,27,0,0,3,0.3
0,3,female,14.0,0,0,7.8542,S,36,0,1,3,0.3
1,2,female,55.0,0,0,16.0,S,32,0,1,2,0.3
0,3,male,2.0,4,1,29.125,Q,20,0,0,3,0.3
1,2,male,33.1,0,0,13.0,S,28,0,1,2,0.3
0,3,female,31.0,1,0,18.0,S,55,0,0,3,0.3
1,3,female,35.6,0,0,7.225,C,23,0,1,2,0.3
0,2,male,35.0,0,0,26.0,S,20,0,1,2,0.3
1,2,male,34.0,0,0,13.0,S,21,0,1,2,0.76
1,3,female,15.0,0,0,8.0292,Q,27,0,1,3,0.3
1,1,male,28.0,0,0,35.5,S,28,0,1,1,0.47
0,3,female,8.0,3,1,21.075,S,29,0,0,3,0.3
1,3,female,38.0,1,5,31.3875,S,57,0,0,3,0.3
0,3,male,33.1,0,0,7.225,C,23,0,1,2,0.3
0,1,male,19.0,3,2,263.0,S,30,0,0,1,0.59
1,3,female,21.8,0,0,7.8792,Q,29,0,1,3,0.3
0,3,male,33.1,0,0,7.8958,S,19,0,1,3,0.3
0,1,male,40.0,0,0,27.7208,C,24,0,1,P,0.3
1,1,female,35.6,1,0,146.5208,C,46,0,0,P,0.74
1,3,female,21.8,0,0,7.75,Q,24,0,1,3,0.3
0,2,male,66.0,0,0,10.5,S,21,0,1,C,0.3
0,1,male,28.0,1,0,82.1708,C,23,0,0,P,0.3
0,1,male,42.0,1,0,52.0,S,30,0,0,1,0.3
1,3,male,33.1,0,0,7.2292,C,16,0,1,2,0.3
0,3,male,21.0,0,0,8.05,S,24,0,1,A,0.3
0,3,female,18.0,2,0,18.0,S,34,0,0,3,0.3
1,3,female,14.0,1,0,11.2417,C,27,0,0,2,0.3
0,3,female,40.0,1,0,9.475,S,46,0,0,7,0.3
0,2,female,27.0,1,0,21.0,S,56,0,0,1,0.3
0,3,male,33.1,0,0,7.8958,C,19,0,1,3,0.3
1,2,female,3.0,1,2,41.5792,C,40,0,0,S,0.3
1,3,female,19.0,0,0,7.8792,Q,29,0,1,3,0.3
0,3,male,33.1,0,0,8.05,S,24,0,1,S,0.3
